Date,Open,High,Low,Close,Volume,Change
2013-07-29,13031,13406,11755,11931,268395,
2013-07-30,11780,12681,11505,12081,204637,0.012572290671360342
2013-07-31,12331,12356,11955,12256,94144,0.014485555831470931
2013-08-01,12256,12306,11430,12106,200606,-0.012238903394255929
2013-08-02,11930,12156,11780,12031,85270,-0.006195275070213113
2013-08-05,12206,12206,11705,11756,72540,-0.022857617820630005
2013-08-06,11805,12955,11179,11230,373266,-0.044743109901327016
2013-08-07,11455,11580,10729,10955,125673,-0.024487978628673246
2013-08-08,11030,12256,10605,11956,485978,0.091373801916933
2013-08-09,11805,12606,11630,11956,237418,0.0
2013-08-12,11930,12606,11705,11956,200965,0.0
2013-08-13,12455,12781,11730,12606,259744,0.05436600869856134
2013-08-14,12606,12981,12180,12606,238211,0.0
2013-08-16,12356,12506,12055,12331,133557,-0.021815008726003504
2013-08-19,12031,12231,11505,11806,131710,-0.04257562241505153
2013-08-20,11580,12080,11505,11505,80641,-0.0254955107572421
2013-08-21,11505,11505,10229,11205,219704,-0.026075619295958252
2013-08-22,11055,11055,10304,10655,144812,-0.049085229808121356
2013-08-23,10604,11055,10529,10980,77776,0.03050211168465511
2013-08-26,10880,11806,10880,11606,148976,0.05701275045537346
2013-08-27,11705,11705,11104,11505,80197,-0.008702395312769284
2013-08-28,11154,11405,10679,11230,59832,-0.023902651021295074
2013-08-29,11405,11405,10629,10880,39265,-0.03116651825467498
2013-08-30,10804,11205,10654,11180,40137,0.02757352941176472
2013-09-02,11280,12456,11255,12206,227959,0.09177101967799639
2013-09-03,12405,12781,12055,12606,181123,0.03277076847452065
2013-09-04,12655,12956,12180,12956,139533,0.027764556560368137
2013-09-05,13031,13206,12655,12931,95319,-0.0019296079036740243
2013-09-06,12931,13356,12255,12706,144375,-0.017400046400123714
2013-09-09,12956,12956,11880,11906,117268,-0.06296237997796317
2013-09-10,11905,12256,11555,11956,73339,0.004199563245422366
2013-09-11,12081,12156,11605,11956,51510,0.0
2013-09-12,12006,12106,11005,11631,134201,-0.02718300434928067
2013-09-13,11630,11830,11204,11355,62265,-0.02372968790301777
2013-09-16,11255,11480,11129,11205,35631,-0.013210039630118908
2013-09-17,11155,11230,10554,10855,59190,-0.031236055332440893
2013-09-23,10929,11580,10829,11430,92562,0.05297098111469367
2013-09-24,11580,11955,11354,11455,112724,0.0021872265966753623
2013-09-25,11580,11605,10854,11380,123599,-0.006547359231776517
2013-09-26,11104,11380,11079,11330,42707,-0.004393673110720586
2013-09-27,11229,11430,11004,11405,80308,0.006619593998234752
2013-09-30,11305,11530,10929,11005,86694,-0.035072336694432216
2013-10-01,11030,11405,10629,11005,67598,0.0
2013-10-02,11230,11230,10754,11005,60185,0.0
2013-10-04,11180,11180,10254,10505,75954,-0.04543389368468875
2013-10-07,10255,10480,8929,10005,100271,-0.047596382674916726
2013-10-08,10080,10080,9504,9955,54850,-0.004997501249375258
2013-10-10,10004,11180,9829,11005,159731,0.10547463586137629
2013-10-11,11004,11430,10754,11205,91423,0.0181735574738755
2013-10-14,10979,11305,10879,11305,45980,0.008924587237840287
2013-10-15,11305,11480,10805,10805,64732,-0.04422821760283058
2013-10-16,10755,11005,9979,10505,114919,-0.027764923646459994
2013-10-17,10530,10655,9854,10005,44571,-0.047596382674916726
2013-10-18,10405,10405,9904,9955,49795,-0.004997501249375258
2013-10-21,10155,10155,9679,10005,51045,0.0050226017076846485
2013-10-22,9904,10180,9779,9930,37511,-0.007496251874062998
2013-10-23,10129,10154,9554,9554,52980,-0.03786505538771401
2013-10-24,9780,9780,9229,9630,70262,0.007954783336822313
2013-10-25,9654,9679,9178,9479,73047,-0.01568016614745582
2013-10-28,9679,10280,9454,10280,99413,0.08450258466082916
2013-10-29,10304,10555,10054,10355,78024,0.007295719844357951
2013-10-30,10305,10430,10029,10055,74097,-0.02897151134717524
2013-10-31,10004,10204,9403,9529,56506,-0.052312282446543956
2013-11-01,9554,9879,9303,9504,68703,-0.002623570154265953
2013-11-04,9504,9905,9279,9805,40663,0.03167087542087543
2013-11-05,9805,9805,9479,9630,19349,-0.017848036715961246
2013-11-06,9704,9930,9354,9880,34004,0.025960539979231534
2013-11-07,9904,10255,9729,10005,61226,0.012651821862348145
2013-11-08,9904,10155,9579,10030,29620,0.002498750624687629
2013-11-11,10055,10055,9554,9655,27251,-0.03738783649052846
2013-11-12,9578,9904,9403,9579,21674,-0.007871569135163181
2013-11-13,9579,9579,8703,8804,64122,-0.08090614886731395
2013-11-14,8854,9004,7503,8154,223746,-0.07383007723761925
2013-11-15,8003,8504,7903,8504,50612,0.04292371842040721
2013-11-18,8754,8754,8003,8304,33853,-0.0235183443085607
